Sr no.,States,Max. Demand Met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),Drawal Schedule (MU),OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU),Date
0,punjab,5599,0,103.6,35.5,0.2,165,0,01.01.18
1,haryana,6119,0,112.6,59.6,0,175,1.5,01.01.18
2,rajasthan,10446,0,204.3,65.8,0.7,300,0,01.01.18
3,delhi,3664,0,60.1,49.4,-1.1,149,0,01.01.18
4,up,14129,560,274,90.3,0.3,810,0.4,01.01.18
5,uttarakhand,1919,0,34.1,21,0.5,140,0,01.01.18
6,hp,1464,0,26,21.2,0.1,96,0,01.01.18
7,j&k,2196,549,46.1,43.2,-1.8,19,10.9,01.01.18
8,chandigarh,184,0,3,3.2,-0.2,8,0,01.01.18
9,chhattisgarh,3320,0,71.8,17.9,-1.9,84,0,01.01.18
10,gujarat,13875,0,293.4,76.6,3.5,448,0,01.01.18
11,mp,11519,0,222.4,142.6,-1.6,442,0,01.01.18
12,maharashtra,19599,0,388.9,122.9,-1.7,427,0,01.01.18
13,goa,421,0,9.2,8.6,0.1,42,0,01.01.18
14,dd,284,0,6.4,6.3,0,42,0,01.01.18
15,dnh,723,0,16.7,16.4,0.3,55,0,01.01.18
16,essarsteel,359,0,7.3,6.9,0.4,191,0,01.01.18
17,andhrapradesh,8220,-,161.2,57.7,1.6,612,0,01.01.18
18,telangana,8901,-,187.6,97.7,-0.3,302,0,01.01.18
19,karnataka,9516,-,193.5,85.7,3.3,528,0,01.01.18
20,kerala,3180,-,58.7,51.3,0.5,210,0,01.01.18
21,tamilnadu,12527,-,275.7,145.3,5,467,0,01.01.18
22,pondy,280,-,5.6,6.5,-0.9,12,0,01.01.18
23,bihar,3905,0,69.8,64.8,-1.6,220,0,01.01.18
24,dvc,3287,0,66.4,-31.9,-1.2,225,0,01.01.18
25,jharkhand,1016,0,22.8,11.6,0.5,75,0,01.01.18
26,odisha,3778,0,68.3,32,4,300,0,01.01.18
27,westbengal,4987,0,85.2,11.9,1.3,225,0,01.01.18
28,sikkim,93,0,1.4,1.7,-0.2,12,0,01.01.18
29,arunachalpradesh,96,2,2,1.9,0.2,31,0,01.01.18
30,assam,1348,19,21.7,17.3,-0.2,173,0.3,01.01.18
31,manipur,175,4,2.7,2.9,-0.2,21,0,01.01.18
32,meghalaya,278,0,6.2,3.6,-0.2,16,0,01.01.18
33,mizoram,84,1,1.8,1.1,-0.1,20,0,01.01.18
34,nagaland,118,3,2.2,2,0,60,0,01.01.18
35,tripura,215,1,3.2,1.7,-0.4,59,0,01.01.18
0,punjab,5657,0,110.9,24,-1.1,145,0,01.01.19
1,haryana,6445,138,125,58,0.2,169,0.3,01.01.19
2,rajasthan,12676,0,236.6,64,-0.3,388,0,01.01.19
3,delhi,4292,0,69,54.1,-0.9,203,0,01.01.19
4,up,14125,0,291.2,109.9,0.3,262,2.6,01.01.19
5,uttarakhand,2096,0,38.1,22.8,-0.3,94,0,01.01.19
6,hp,1657,0,30.1,24,0.6,175,0,01.01.19
7,j&k,2400,600,50.2,45.8,-0.7,237,11.9,01.01.19
8,chandigarh,234,0,3.7,3.4,0.3,60,0,01.01.19
9,chhattisgarh,3473,0,76.6,25.5,-0.4,167,0,01.01.19
10,gujarat,15141,0,316.8,86.9,1.4,1236,0,01.01.19
11,mp,13860,0,258.3,150.1,0,502,0,01.01.19
12,maharashtra,19980,0,386.6,90.8,0.5,547,0,01.01.19
13,goa,462,0,9.4,9,-0.3,31,0,01.01.19
14,dd,302,0,6.6,6,0.6,73,0,01.01.19
15,dnh,729,0,16.9,16.7,0.2,52,0,01.01.19
16,essarsteel,578,0,11.4,10.5,1,286,0,01.01.19
17,andhrapradesh,8005,0,163,60.1,0.3,445,0,01.01.19
18,telangana,8886,0,179,81.7,0.8,463,0,01.01.19
19,karnataka,10846,0,203.1,71,-0.1,462,0,01.01.19
20,kerala,3632,0,69.1,58.5,0.5,170,0,01.01.19
21,tamilnadu,13631,0,279.7,136.4,-0.7,364,0,01.01.19
22,pondy,357,0,6.7,7.2,-0.5,19,0,01.01.19
23,bihar,4362,0,76.8,70.7,0.7,460,0,01.01.19
24,dvc,3123,0,65.3,-31.4,2.2,396,0,01.01.19
25,jharkhand,1199,0,26.1,19,0.8,169,0,01.01.19
26,odisha,3852,0,71.5,24.5,0.9,267,0,01.01.19
27,westbengal,6363,0,110.1,21.2,0.9,309,0,01.01.19
28,sikkim,95,0,1.4,1.7,-0.3,18,0,01.01.19
29,arunachalpradesh,123,2,2.4,1.8,0.6,46,0,01.01.19
30,assam,1361,31,23.4,17,1.5,76,0.2,01.01.19
31,manipur,203,3,2.8,2.7,0,20,0,01.01.19
32,meghalaya,338,0,6.6,6,-0.3,35,0,01.01.19
33,mizoram,93,1,1.8,1.3,0.1,20,0,01.01.19
34,nagaland,121,2,2.2,2,-0.1,12,0,01.01.19
35,tripura,228,1,3.6,1.4,0.1,34,0,01.01.19
0,punjab,6014,0,120.2,64.2,-1.1,83,1.15,01.01.21
1,haryana,6574,0,133,98.6,-0.2,142,0,01.01.21
2,rajasthan,13784,0,263.9,94.2,0.9,336,0,01.01.21
3,delhi,4634,0,76,63.1,1.2,595,0,01.01.21
4,up,17968,170,308.7,101.1,-2.8,326,0.07,01.01.21
5,uttarakhand,2203,0,41.8,24.4,0.4,120,0,01.01.21
6,hp,1880,0,34.2,28.7,0,235,0,01.01.21
7,j&k(ut)&ladakh(ut),2919,550,56.4,48.6,1.9,561,11.2,01.01.21
8,chandigarh,273,0,4.4,4.2,0.2,24,0,01.01.21
9,chhattisgarh,4084,28,87.7,33.7,0.6,391,0.1,01.01.21
10,gujarat,16758,0,337,64.2,2,901,0,01.01.21
11,mp,15447,0,300.8,172.2,0.7,387,0,01.01.21
12,maharashtra,23125,0,453.7,164.2,4.2,721,0,01.01.21
13,goa,488,0,10.4,9.6,0.3,45,0,01.01.21
14,dd,315,0,7.1,6.9,0.2,40,0,01.01.21
15,dnh,808,0,18.8,18.7,0.1,42,0,01.01.21
16,amnsil,848,0,19.2,11,0.4,258,0,01.01.21
17,andhrapradesh,8934,0,162.6,73.1,0.6,541,0,01.01.21
18,telangana,11316,0,208.6,91.2,-0.8,780,0,01.01.21
19,karnataka,11331,0,212.3,75.7,-1,643,0,01.01.21
20,kerala,3531,0,72.9,50.5,-0.5,247,0,01.01.21
21,tamilnadu,12899,0,264.8,152.2,-1.1,555,0,01.01.21
22,puducherry,347,0,6.7,7,-0.3,39,0,01.01.21
23,bihar,5003,0,87.2,86.8,-1.2,208,0,01.01.21
24,dvc,3109,0,66.7,-41.1,-0.3,282,0,01.01.21
25,jharkhand,1597,149,27.2,22.3,-2.2,128,0.45,01.01.21
26,odisha,4404,0,81.1,10.9,0,533,0,01.01.21
27,westbengal,6281,0,116.9,15.3,0.1,571,0,01.01.21
28,sikkim,128,0,2.1,1.9,0.2,47,0,01.01.21
29,arunachalpradesh,133,1,2.2,2.3,-0.3,39,0.01,01.01.21
30,assam,1423,22,24.3,19.2,0.1,102,0.55,01.01.21
31,manipur,248,2,3.1,3.5,-0.4,29,0.01,01.01.21
32,meghalaya,386,0,6.8,4.3,0.1,51,0,01.01.21
33,mizoram,105,2,1.6,1.6,-0.4,44,0.01,01.01.21
34,nagaland,142,1,2.3,2.3,-0.2,23,0.01,01.01.21
35,tripura,217,0,3.7,3,-0.4,59,0,01.01.21
0,punjab,7182,0,131.6,74.2,-2.1,91,0,01.01.22
1,haryana,6988,0,127.4,72.9,0.4,206,0,01.01.22
2,rajasthan,15034,0,267.5,78.7,-1.5,360,0,01.01.22
3,delhi,4470,0,70.5,58.7,-0.6,206,0,01.01.22
4,up,17953,0,318.2,92.8,0,446,0,01.01.22
5,uttarakhand,2239,0,40.2,27.7,0.2,180,0,01.01.22
6,hp,1907,0,35.3,28.6,-0.3,147,0,01.01.22
7,j&k(ut)&ladakh(ut),2881,300,60.4,56.4,-0.8,262,4.65,01.01.22
8,chandigarh,233,0,3.8,3.8,0,40,0,01.01.22
9,chhattisgarh,3540,0,76.1,23.7,-0.1,349,0,01.01.22
10,gujarat,16595,219,346.5,184.6,4.6,893,1.95,01.01.22
11,mp,14062,0,266.4,166.4,-1,561,0,01.01.22
12,maharashtra,22712,0,458.7,123.5,-3.5,617,0,01.01.22
13,goa,576,0,11.9,11.1,0.3,44,0,01.01.22
14,dd,274,0,6,6,0,16,0,01.01.22
15,dnh,766,0,17.6,17.5,0.1,44,0,01.01.22
16,amnsil,15500,0,15.5,8.7,-8.7,376,0,01.01.22
17,andhrapradesh,9242,0,170.7,67.4,-0.1,440,0,01.01.22
18,telangana,11050,0,197.8,87.9,-0.2,581,0,01.01.22
19,karnataka,11404,0,201,52.6,-0.9,576,0,01.01.22
20,kerala,3709,0,74.9,55.2,0.1,310,0,01.01.22
21,tamilnadu,12620,0,253.9,137.5,-2.6,639,0,01.01.22
22,puducherry,318,0,6.5,7.1,-0.7,53,0,01.01.22
23,bihar,4487,0,82.8,74.9,-0.3,277,0.99,01.01.22
24,dvc,3162,91,66.3,-38.2,-1.5,401,1.46,01.01.22
25,jharkhand,1429,228,27.4,22.4,-0.4,266,3.4,01.01.22
26,odisha,5391,0,99.7,63.8,0.8,390,0,01.01.22
27,westbengal,5679,0,108.1,-8.5,-0.6,260,0,01.01.22
28,sikkim,96,0,1.5,1.9,-0.3,22,0,01.01.22
29,arunachalpradesh,133,0,2.4,2.7,-0.4,6,0,01.01.22
30,assam,1365,0,23.7,18.4,-0.9,72,0,01.01.22
31,manipur,222,0,3.3,3.4,-0.1,34,0,01.01.22
32,meghalaya,353,0,7.1,6.4,0,56,0,01.01.22
33,mizoram,112,0,1.9,1.4,-0.2,15,0,01.01.22
34,nagaland,130,0,2.3,2.1,0.1,17,0,01.01.22
35,tripura,211,0,3.4,3.8,-0.3,21,0,01.01.22
0,punjab,7484,0,140,30.5,-1.3,94,0,01.01.23
1,haryana,6479,0,125.2,60.4,-1.7,159,0,01.01.23
2,rajasthan,16280,0,304.9,114.6,-0.8,205,0.49,01.01.23
3,delhi,4588,0,73.7,63.2,0.2,294,0,01.01.23
4,up,17968,0,332.7,83,0.1,528,2.92,01.01.23
5,uttarakhand,2135,150,41.3,30,0,162,0.45,01.01.23
6,hp,1901,0,34,27.1,-0.6,99,0,01.01.23
7,j&k(ut)&ladakh(ut),2833,0,63,60,-1.7,58,0.06,01.01.23
8,chandigarh,241,0,4.1,4.1,0,47,0,01.01.23
9,chhattisgarh,4631,0,99.8,46.8,-0.9,101,0,01.01.23
10,gujarat,18088,0,356.9,191.8,-3.3,856,0,01.01.23
11,mp,16360,0,310.2,188.1,0,328,0,01.01.23
12,maharashtra,25161,0,506.8,180.6,-0.9,550,0,01.01.23
13,goa,591,0,12.1,11.6,-0.1,43,0,01.01.23
14,dnhddpdcl,1086,0,24.7,23.9,0.8,32,0,01.01.23
15,amnsil,807,0,17.1,10.8,0,257,0,01.01.23
16,balco,518,0,12.3,12.3,0,0,0,01.01.23
17,andhrapradesh,10432,0,190.8,82.8,-1.5,510,0,01.01.23
18,telangana,13629,0,222.3,102.7,-1.5,578,0,01.01.23
19,karnataka,12522,0,214.6,91.7,-1,1011,0,01.01.23
20,kerala,3444,0,69,53.1,0.2,189,0,01.01.23
21,tamilnadu,13131,0,269,137.5,-3.6,237,0,01.01.23
22,puducherry,337,0,7.8,7.3,-0.2,21,0,01.01.23
23,bihar,4980,0,91.3,81.9,-2.1,69,0,01.01.23
24,dvc,3446,0,71.3,-41.8,0.5,264,0,01.01.23
25,jharkhand,1562,189,28.5,21.8,-1.7,132,1.36,01.01.23
26,odisha,4629,0,89.5,28.7,-4.3,274,0,01.01.23
27,westbengal,5797,0,111.9,-15.5,-2.2,382,0,01.01.23
28,sikkim,96,0,1.6,1.8,-0.2,18,0,01.01.23
29,arunachalpradesh,146,0,2.6,2.5,-0.1,25,0,01.01.23
30,assam,1343,0,24.5,18.2,-0.2,76,0,01.01.23
31,manipur,215,0,3.4,3.6,-0.2,25,0,01.01.23
32,meghalaya,341,0,7.2,6.4,-0.2,21,0,01.01.23
33,mizoram,130,0,2.1,1.9,-0.1,7,0,01.01.23
34,nagaland,133,0,2,2,-0.1,24,0,01.01.23
35,tripura,213,0,3.7,1.6,0,22,0,01.01.23
0,punjab,5242,0,106.1,20.5,0.4,141,0,01.02.18
1,haryana,6364,0,118.5,54.8,2.1,219,0,01.02.18
2,rajasthan,11114,0,214.1,75.1,2,322,1.3,01.02.18
3,delhi,3968,0,66.5,49.7,-1.3,238,0,01.02.18
4,up,14244,560,288.8,99.4,0.2,737,0.3,01.02.18
5,uttarakhand,2051,0,37.7,29.5,0,95,0,01.02.18
6,hp,1544,0,27.5,22.5,1,133,0,01.02.18
7,j&k,2148,537,46.5,42.7,0,61,11,01.02.18
8,chandigarh,221,0,3.5,3.2,0.3,50,0,01.02.18
9,chhattisgarh,3262,0,73.1,15.8,-0.2,240,0.2,01.02.18
10,gujarat,13802,0,297.9,121.8,1.3,278,0,01.02.18
11,mp,9587,0,214.6,121.7,-2.2,537,0,01.02.18
12,maharashtra,20405,0,418.1,133.3,-0.9,304,0,01.02.18
13,goa,446,0,9.7,8.8,0.3,65,0,01.02.18
14,dd,332,0,7.3,6.6,0.7,81,0,01.02.18
15,dnh,745,0,17.4,16.4,1,85,0,01.02.18
16,essarsteel,494,0,9.4,9.2,0.2,120,0,01.02.18
17,andhrapradesh,8516,0,168.2,46.9,0.6,758,0.1,01.02.18
18,telangana,9050,0,181.8,74.1,-0.4,346,0.1,01.02.18
19,karnataka,9863,0,211.4,87.5,0.6,545,0.2,01.02.18
20,kerala,3383,0,67.9,52.8,1.2,203,0.1,01.02.18
21,tamilnadu,13643,0,290,159.9,1.3,680,0.2,01.02.18
22,pondy,334,0,6.6,7,-0.4,23,0,01.02.18
23,bihar,3868,0,69.6,62.5,-1.2,0,0,01.02.18
24,dvc,3054,0,67.2,-35.1,-1.7,50,0,01.02.18
25,jharkhand,1208,0,22,13.6,-1.8,100,0,01.02.18
26,odisha,4173,0,73.5,18.8,1.3,620,0,01.02.18
27,westbengal,6755,0,118.7,19.1,1.6,300,0,01.02.18
28,sikkim,105,0,1.6,1.7,-0.1,5,0,01.02.18
