Date,Punjab,Haryana,Rajasthan,Delhi,UP,Uttarakhand,HP,J&K,Chandigarh,Chhattisgarh,Gujarat,MP,Maharashtra,Goa,DD,DNH,Essarsteel,AndhraPradesh,Telangana,Karnataka,Kerala,TamilNadu,Pondy,Bihar,DVC,Jharkhand,Odisha,WestBengal,Sikkim,ArunachalPradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura,Railways_NR,DNHDDPDCL,AMNSIL,BALCO,Railways_ER,Ladakh,NR,WR,SR,ER,4469.4
01-02-2021,140.6,139.3,266.1,69.7,312.5,41.9,32,55.6,3.8,89.6,348.7,285,476.5,10.3,7.1,19.1,19.8,184.1,245,232,74,286,7.5,93.3,67.7,26.3,74.4,126.8,1.7,2.3,24.2,2.7,6.6,1.6,2,3.8,,,,,,,,,,,
02-02-2021,142.2,141.3,268.1,69.3,311.5,41.5,31.7,54.1,3.8,92.3,353.4,287.8,481.8,9.9,7.6,19.5,18,183.8,240.3,235,74.5,297.1,7.7,95,69.1,25.9,73.9,130.1,1.9,2.4,24.7,2.8,6.6,1.9,2.3,3.9,,,,,,,,,,,
03-02-2021,135.1,141,269.7,68.4,306.2,41,33.1,53.5,3.8,93.5,350.7,288.4,486.5,10.1,7.8,19.7,18.6,183.4,243.5,236.6,75.7,296.9,7.8,92,69.5,26.2,73.7,130.2,1.9,2.3,24.6,2.8,6.8,1.7,2.5,3.6,,,,,,,,,,,
04-02-2021,120.8,125.7,267.9,68.6,279.5,39.9,32.2,55.6,4.1,94.4,352.9,286,485.8,9.8,7.7,19.9,18.4,184.7,242,236.6,74.9,294,7.7,89.1,68.2,26.1,72.3,129.3,1.7,2.3,25,3.1,6.7,1.7,2.5,3.2,,,,,,,,,,,
05-02-2021,129.2,130,267.9,70.4,276.4,38.4,32.1,55.1,3.9,95.4,352.2,282.8,484.4,10,7.7,18.1,18,187.8,244.1,239.5,74.1,299.1,7.7,89.7,67.7,28.7,71.6,129.2,1.6,2.4,23.8,3,7.1,1.7,2.5,3.7,,,,,,,,,,,
06-02-2021,134.5,132.8,266.5,64.1,280.5,40.4,36.9,55.7,3.6,95.5,348.3,278.1,484.6,9.9,7.6,19.4,18.2,187.1,241.7,239.1,74.1,293,7.8,83.4,66.6,26.5,74,129.4,1.9,2.3,24.2,2.9,6.7,1.7,2.2,3.6,,,,,,,,,,,
07-02-2021,125.7,120.8,264.5,63,284.5,37.9,27.5,54.4,3.3,93.9,336.3,279.2,467.6,8.7,6.8,19.1,18.1,181.7,231.8,221.3,66.7,271.1,7.2,84.7,68.3,25.5,89.8,117.6,1.4,2.3,22.7,2.7,6.4,1.7,2.1,3.5,,,,,,,,,,,
01-03-2021,131.5,134.7,264.4,62.1,307.8,36.1,31.1,50.9,3.1,104.9,371.6,259.4,514.9,10.2,7,19.7,15.3,205.1,259.4,244.6,81.7,315,7.3,85.7,65.2,25.7,86.6,152.3,1.2,2.3,24.5,2.6,6.2,1.7,2.3,4,,,,,,,,,,,
02-03-2021,141.5,134.8,264.6,61.8,295.9,37.9,31.3,51.7,3.1,106.7,371.3,261.4,527.4,11.1,7.6,20,15.3,207.8,262.5,253.5,81.5,325.2,7.6,87.4,66.5,26.8,87.1,155.4,1.2,2.4,24.9,2.6,5.2,1.7,2,4,,,,,,,,,,,
03-03-2021,142.9,137.9,264.8,62.8,304.3,38.4,31.9,50.2,3.2,105.7,369.1,260,526.5,11.6,7.8,20.3,14.6,204.7,264,247.3,81.6,322.6,7.6,84.5,68.3,26.9,85.4,153.2,1.2,2.1,24.9,2.5,5.4,1.6,2,3.9,,,,,,,,,,,
