,Category,NR,WR,SR,ER,NER,Total,Date,TOTAL
0,Demand Met during Evening Peak hrs(MW),42504,55102,47759,20026,2437,,01.04.23,167828
1,Peak Shortage (MW),0,0,0,0,23,,01.04.23,23
2,Energy Met (MU),892,1326,1261,411,45,,01.04.23,3935
3,Hydro Gen (MU),116,20,61,27,7,,01.04.23,232
4,Wind Gen (MU),15,90,40,-,-,,01.04.23,145
5,Solar Gen (MU),135.90,65.60,127.37,3.55,0.25,,01.04.23,333
6,Energy Shortage (MU),1.73,0.00,0.00,0.42,1.10,,01.04.23,3.25
7,Schedule(MU),77.5,-159.9,255.6,-170.6,-2.5,,01.04.23,0.0
8,Actual(MU),48.8,-144.4,277.4,-187.7,1.9,,01.04.23,-4.1
9,O/D/U/D(MU),-28.7,15.5,21.8,-17.1,4.4,,01.04.23,-4.1
10,Central,5607,13631,3028,980,425,,01.04.23,23671
11,State,12960,12318,3691,2500,297,,01.04.23,31766
12,Coal,553,1339,659,654,11,,01.04.23,3216
13,Lignite,27,21,70,0,0,,01.04.23,118
14,Hydro,116,20,61,27,7,,01.04.23,232
15,Nuclear,31,34,74,0,0,,01.04.23,139
0,Demand Met during Evening Peak hrs(MW),42496,50421,39946,20660,2567,,01.05.23,156090
1,Peak Shortage (MW),0,0,0,0,53,,01.05.23,53
2,Energy Met (MU),979,1198,926,453,49,,01.05.23,3605
3,Hydro Gen (MU),181,18,51,55,15,,01.05.23,319
4,Wind Gen (MU),5,50,30,-,-,,01.05.23,86
5,Solar Gen (MU),124.84,54.80,103.93,4.53,1.17,,01.05.23,289
6,Energy Shortage (MU),0.51,0.00,0.00,0.33,1.19,,01.05.23,2.03
7,Schedule(MU),167.1,-143.2,77.2,-99.4,-1.7,,01.05.23,0.0
8,Actual(MU),141.6,-126.3,93.8,-113.0,-0.4,,01.05.23,-4.3
9,O/D/U/D(MU),-25.5,17.0,16.5,-13.6,1.3,,01.05.23,-4.3
10,Central,7857,10831,4458,2080,425,,01.05.23,25651
11,State,12640,14040,5304,1460,241,,01.05.23,33684
12,Coal,514,1245,575,592,11,,01.05.23,2937
13,Lignite,24,22,43,0,0,,01.05.23,89
14,Hydro,181,18,51,55,15,,01.05.23,319
15,Nuclear,29,32,69,0,0,,01.05.23,130
0,Demand Met during Evening Peak hrs(MW),56004,60964,48237,26609,3307,,01.06.23,195121
1,Peak Shortage (MW),0,0,0,625,60,,01.06.23,685
2,Energy Met (MU),1170,1455,1160,607,66,,01.06.23,4458
3,Hydro Gen (MU),252,45,57,70,10,,01.06.23,434
4,Wind Gen (MU),18,173,123,-,-,,01.06.23,313
5,Solar Gen (MU),113.80,56.32,119.72,2.98,1.18,,01.06.23,294
6,Energy Shortage (MU),0.10,1.30,0.00,6.26,1.39,,01.06.23,9.05
7,Schedule(MU),122.5,-202.8,93.0,-31.8,19.1,,01.06.23,0.0
8,Actual(MU),81.6,-192.2,121.0,-33.3,22.1,,01.06.23,-0.9
9,O/D/U/D(MU),-40.9,10.6,28.0,-1.5,3.0,,01.06.23,-0.8
10,Central,3297,10591,5828,2250,434,,01.06.23,22400
11,State,6405,14696,3879,2360,265,,01.06.23,27604
12,Coal,716,1439,704,649,14,,01.06.23,3522
13,Lignite,19,13,40,0,0,,01.06.23,72
14,Hydro,252,45,57,70,10,,01.06.23,434
15,Nuclear,30,36,45,0,0,,01.06.23,111
0,Demand Met during Evening Peak hrs(MW),67100,51690,46722,24407,3111,,01.07.23,193030
1,Peak Shortage (MW),120,0,0,0,3,,01.07.23,123
2,Energy Met (MU),1466,1200,1140,534,60,,01.07.23,4400
3,Hydro Gen (MU),395,44,46,122,24,,01.07.23,632
4,Wind Gen (MU),29,150,199,-,-,,01.07.23,378
5,Solar Gen (MU),129.31,37.25,117.62,2.80,0.83,,01.07.23,288
6,Energy Shortage (MU),0.54,0.00,0.00,1.48,1.10,,01.07.23,3.12
7,Schedule(MU),298.0,-236.0,84.0,-149.1,3.1,,01.07.23,0.0
8,Actual(MU),255.5,-239.0,111.5,-133.9,5.1,,01.07.23,-0.8
9,O/D/U/D(MU),-42.5,-3.0,27.5,15.2,2.0,,01.07.23,-0.8
10,Central,4720,13551,6978,2120,818,,01.07.23,28187
11,State,8680,16563,5260,2150,241,,01.07.23,32893
12,Coal,662,1238,612,597,14,,01.07.23,3122
13,Lignite,28,12,56,0,0,,01.07.23,97
14,Hydro,395,44,46,122,24,,01.07.23,632
15,Nuclear,30,47,46,0,0,,01.07.23,123
0,Demand Met during Evening Peak hrs(MW),75526,53919,48089,24819,3393,,01.08.23,205746
1,Peak Shortage (MW),175,0,0,0,26,,01.08.23,201
2,Energy Met (MU),1684,1257,1104,584,70,,01.08.23,4700
3,Hydro Gen (MU),445,73,76,133,32,,01.08.23,759
4,Wind Gen (MU),50,253,283,-,-,,01.08.23,587
5,Solar Gen (MU),131.47,38.36,105.90,1.36,1.26,,01.08.23,278
6,Energy Shortage (MU),0.66,0.00,0.00,0.39,0.60,,01.08.23,1.65
7,Schedule(MU),323.5,-317.6,61.3,-66.0,-1.2,,01.08.23,0.0
8,Actual(MU),300.4,-320.5,74.8,-56.5,1.6,,01.08.23,-0.1
9,O/D/U/D(MU),-23.1,-2.9,13.6,9.5,2.8,,01.08.23,-0.1
10,Central,3173,10739,5848,3385,271,,01.08.23,23416
11,State,5900,16626,10038,3090,178,,01.08.23,35831
12,Coal,752,1222,481,567,13,,01.08.23,3035
13,Lignite,27,10,56,0,0,,01.08.23,93
14,Hydro,445,73,76,133,32,,01.08.23,759
15,Nuclear,29,50,64,0,0,,01.08.23,143
0,Demand Met during Evening Peak hrs(MW),72187,64813,47304,25488,3162,,01.09.23,212954
1,Peak Shortage (MW),3577,4655,400,1644,469,,01.09.23,10745
2,Energy Met (MU),1717,1595,1224,616,66,,01.09.23,5219
3,Hydro Gen (MU),365,102,112,140,40,,01.09.23,758
4,Wind Gen (MU),25,47,54,-,-,,01.09.23,125
5,Solar Gen (MU),140.40,59.95,117.92,2.50,0.96,,01.09.23,322
6,Energy Shortage (MU),56.00,39.45,6.30,17.84,4.69,,01.09.23,124.28
7,Schedule(MU),290.3,-284.8,128.6,-121.0,-13.1,,01.09.23,0.0
8,Actual(MU),250.3,-268.8,137.9,-115.9,-11.6,,01.09.23,-8.1
9,O/D/U/D(MU),-40.0,16.1,9.3,5.1,1.4,,01.09.23,-8.1
10,Central,1761,7219,5508,2560,255,,01.09.23,17302
11,State,5105,8526,4518,3580,157,,01.09.23,21885
12,Coal,908,1613,743,658,17,,01.09.23,3938
13,Lignite,24,13,44,0,0,,01.09.23,80
14,Hydro,365,102,112,140,40,,01.09.23,758
15,Nuclear,29,54,48,0,0,,01.09.23,131
0,Demand Met during Evening Peak hrs(MW),64342,56337,41049,22966,3354,,01.10.23,188048
1,Peak Shortage (MW),128,0,0,0,0,,01.10.23,128
2,Energy Met (MU),1415,1297,1041,501,62,,01.10.23,4317
3,Hydro Gen (MU),104,125,53,99,24,,01.10.23,406
4,Wind Gen (MU),11,62,192,-,-,,01.10.23,265
5,Solar Gen (MU),120.98,59.13,98.59,4.94,0.84,,01.10.23,284
6,Energy Shortage (MU),0.72,0.00,0.00,0.58,0.05,,01.10.23,1.35
7,Schedule(MU),313.0,-224.6,55.2,-144.0,1.0,,01.10.23,0.0
8,Actual(MU),327.8,-198.9,62.4,-172.0,5.0,,01.10.23,24.3
9,O/D/U/D(MU),14.8,-25.6,7.2,-28.0,4.1,,01.10.23,24.3
10,Central,4409,12174,7768,870,505,,01.10.23,25725
11,State,5611,10477,6762,3090,142,,01.10.23,26082
12,Coal,699,1336,575,631,13,,01.10.23,3255
13,Lignite,29,16,36,0,0,,01.10.23,82
14,Hydro,217,125,53,99,24,,01.10.23,520
15,Nuclear,27,54,76,0,0,,01.10.23,156
0,Demand Met during Evening Peak hrs(MW),42813,54661,44519,20946,2230,,02.04.23,165169
1,Peak Shortage (MW),16,0,0,101,33,,02.04.23,150
2,Energy Met (MU),886,1326,1187,434,40,,02.04.23,3874
