,Category,NR,WR,SR,ER,NER,Total,Date
0,Demand Met during Evening Peak hrs(MW),41700,42607,37748,16460,2238,140753,01.01.18
1,Peak Shortage (MW),1003,10,0,0,43,1056,01.01.18
2,Energy Met (MU),864,1016,882,314,40,3116,01.01.18
3,Hydro Gen(MU),108,20,42,25,10,204,01.01.18
4,Wind Gen(MU),6,37,17,----------,----------,60,01.01.18
5,Solar Gen (MU),0.63,15.01,43.49,0.92,0.03,60,01.01.18
6,Energy Shortage (MU),12.8,0,0,0,0.3,13.1,01.01.18
7,Schedule(MU),157.8,-196.6,118.7,-79.4,-1.2,-0.7,01.01.18
8,Actual(MU),154.9,-193.8,119.2,-76.2,-2.8,1.3,01.01.18
9,O/D/U/D(MU),-2.9,2.7,0.5,3.3,-1.6,2,01.01.18
10,Central,3831,15131,5312,1220,71,25565,01.01.18
11,State,6720,17820,6570,5880,50,37040,01.01.18
12,Thermal (Coal & Lignite),556,1112,588,386,10,2652,01.01.18
13,Hydro,108,18,42,25,10,202,01.01.18
14,Nuclear,29,24,69,0,0,122,01.01.18
15,"Gas, Naptha & Diesel",19,47,18,0,26,110,01.01.18
0,Demand Met during Evening Peak hrs(MW),45890,46715,41005,18304,2396,154310,01.01.19
1,Peak Shortage (MW),727,0,0,0,51,778,01.01.19
2,Energy Met (MU),955,1083,901,351,43,3332,01.01.19
3,Hydro Gen (MU),117,28,71,30,8,254,01.01.19
4,Wind Gen (MU),9,38,46,----------,----------,93,01.01.19
5,Solar Gen (MU),23.32,21.79,69.14,0.83,0.05,115,01.01.19
6,Energy Shortage (MU),14.7,0,0,0,0.2,14.9,01.01.19
7,Schedule(MU),151.5,-177.1,101.5,-78.6,3.2,0.5,01.01.19
8,Actual(MU),143.9,-181.5,99,-68.9,3.9,-3.7,01.01.19
9,O/D/U/D(MU),-7.6,-4.5,-2.5,9.7,0.7,-4.2,01.01.19
10,Central,4793,16861,7262,1720,306,30941,01.01.19
11,State,9585,13809,9060,5205,50,37709,01.01.19
12,Coal,578,1108,478,418,5,2587,01.01.19
13,Lignite,22,19,51,0,0,92,01.01.19
14,Hydro,117,28,71,30,8,254,01.01.19
15,Nuclear,24,19,36,0,0,80,01.01.19
0,Demand Met during Evening Peak hrs(MW),53378,51158,39539,18555,2539,165169,01.01.21
1,Peak Shortage (MW),870,0,0,149,48,1067,01.01.21
2,Energy Met (MU),1039,1235,928,381,44,3627,01.01.21
3,Hydro Gen (MU),105,53,94,36,12,300,01.01.21
4,Wind Gen (MU),31,113,61,-,-,205,01.01.21
5,Solar Gen (MU),30.11,27.6,63.83,4.42,0.14,126,01.01.21
6,Energy Shortage (MU),12.42,0.1,0,0.45,0.59,13.56,01.01.21
7,Schedule(MU),279.4,-315,127.5,-94.8,2,-0.9,01.01.21
8,Actual(MU),273.6,-323.6,129.2,-88.7,1.5,-8,01.01.21
9,O/D/U/D(MU),-5.8,-8.6,1.8,6.1,-0.6,-7.1,01.01.21
10,Central,4910,11133,8662,2810,539,28053,01.01.21
11,State,11278,16636,12207,5282,11,45413,01.01.21
12,Coal,518,1318,472,465,7,2780,01.01.21
13,Lignite,27,11,28,0,0,66,01.01.21
14,Hydro,105,53,94,36,12,300,01.01.21
15,Nuclear,24,21,40,0,0,85,01.01.21
0,Demand Met during Evening Peak hrs(MW),51844,51890,37107,19013,2420,162274,01.01.22
1,Peak Shortage (MW),250,0,0,308,0,558,01.01.22
2,Energy Met (MU),1055,1199,905,386,44,3589,01.01.22
3,Hydro Gen (MU),104,31,77,25,10,247,01.01.22
4,Wind Gen (MU),12,71,68,-,-,150,01.01.22
5,Solar Gen (MU),60.98,30.77,75.94,4.28,0.25,172,01.01.22
6,Energy Shortage (MU),4.65,1.95,0,5.85,0,12.45,01.01.22
7,Schedule(MU),247.9,-170.8,57.7,-139.7,4.9,0,01.01.22
8,Actual(MU),245,-168.7,58,-137.1,2.3,-0.5,01.01.22
9,O/D/U/D(MU),-2.9,2.2,0.3,2.5,-2.6,-0.5,01.01.22
10,Central,8386,13218,5602,1300,664,29169,01.01.22
11,State,9455,17536,9916,4268,112,41286,01.01.22
12,Coal,566,1196,494,537,10,2804,01.01.22
13,Lignite,24,15,40,0,0,79,01.01.22
14,Hydro,104,31,77,25,10,247,01.01.22
15,Nuclear,32,33,70,0,0,135,01.01.22
0,Demand Met during Evening Peak hrs(MW),50315,52960,37965,18653,2426,162319,01.01.23
1,Peak Shortage (MW),0,0,0,0,0,0,01.01.23
2,Energy Met (MU),1119,1340,973,394,45,3872,01.01.23
3,Hydro Gen (MU),107,26,73,25,10,242,01.01.23
4,Wind Gen (MU),2,53,23,-,-,79,01.01.23
5,Solar Gen (MU),103.44,52.41,118.2,4.78,0.67,280,01.01.23
6,Energy Shortage (MU),3.92,0,0,1.36,0,5.28,01.01.23
7,Schedule(MU),138.3,-88,131.4,-178.7,-3.1,0,01.01.23
8,Actual(MU),136.8,-84.2,136,-192.3,-2.6,-6.4,01.01.23
9,O/D/U/D(MU),-1.6,3.8,4.6,-13.7,0.5,-6.4,01.01.23
10,Central,5553,12541,7458,2110,459,28121,01.01.23
11,State,5165,15033,6403,1448,98,28146,01.01.23
12,Coal,777,1328,546,631,13,3296,01.01.23
13,Lignite,24,13,35,0,0,72,01.01.23
14,Hydro,108,27,73,26,10,244,01.01.23
15,Nuclear,22,37,75,0,0,134,01.01.23
0,Demand Met during Evening Peak hrs(MW),42375,43780,39580,17534,2415,171047,01.02.18
1,Peak Shortage (MW),523,11,0,0,57,194,01.02.18
2,Energy Met (MU),909,1047,926,353,42,3779,01.02.18
3,Hydro Gen(MU),93,23,62,24,8,260,01.02.18
4,Wind Gen(MU),14,20,40,----------,----------,103,01.02.18
5,Solar Gen (MU),5.59,18.09,50.91,0.75,0.02,187,01.02.18
6,Energy Shortage (MU),12.7,0.2,0.7,0,0.6,13.35,01.02.18
7,Schedule(MU),174,-182.5,96.3,-91.7,2.9,0,01.02.18
8,Actual(MU),165,-187.8,100.8,-86,3.6,-4.4,01.02.18
9,O/D/U/D(MU),-9,-5.3,4.5,5.6,0.7,-4.4,01.02.18
10,Central,5227,13366,5302,1220,190,30367,01.02.18
11,State,9905,17840,5670,4435,50,36542,01.02.18
12,Thermal (Coal & Lignite),571,1142,564,441,10,2996,01.02.18
13,Hydro,93,23,62,24,8,66,01.02.18
14,Nuclear,29,24,69,0,0,259,01.02.18
15,"Gas, Naptha & Diesel",26,44,17,0,24,77,01.02.18
0,Demand Met during Evening Peak hrs(MW),46082,46832,41277,18580,2462,175427,01.02.19
1,Peak Shortage (MW),523,0,0,0,27,1672,01.02.19
2,Energy Met (MU),939,1093,910,369,43,3877,01.02.19
3,Hydro Gen (MU),119,26,70,18,7,292,01.02.19
4,Wind Gen (MU),17,23,56,----------,----------,55,01.02.19
5,Solar Gen (MU),17.51,17.88,75.52,0.93,0.06,226,01.02.19
6,Energy Shortage (MU),13.7,0,0,0,0.2,12.75,01.02.19
7,Schedule(MU),180,-199.5,91.3,-74.4,3.3,0,01.02.19
8,Actual(MU),173.6,-204,90.5,-67.1,3,-2.4,01.02.19
9,O/D/U/D(MU),-6.4,-4.5,-0.8,7.3,-0.3,-2.4,01.02.19
10,Central,3160,14436,5432,1915,232,29302,01.02.19
11,State,10810,16249,8810,3145,50,39391,01.02.19
12,Coal,534,1163,488,441,8,3058,01.02.19
13,Lignite,18,15,44,0,0,78,01.02.19
14,Hydro,119,26,70,18,7,292,01.02.19
15,Nuclear,24,30,33,0,0,119,01.02.19
0,Demand Met during Evening Peak hrs(MW),52706,53645,43005,19116,2575,175908,01.02.21
1,Peak Shortage (MW),0,0,0,148,46,1025,01.02.21
2,Energy Met (MU),1061,1256,1029,390,43,4034,01.02.21
3,Hydro Gen (MU),95,45,76,35,9,270,01.02.21
4,Wind Gen (MU),6,31,65,-,-,227,01.02.21
5,Solar Gen (MU),41.7,35.7,105.09,4.5,0.16,285,01.02.21
