,Date,coal_generation_(mw),energy_met_(mu),energy_shortage_(mu),generation_outage_central_sector_(mw),generation_outage_state_sector_(mw),hydro_generation_(mu),hydro_generation_(mw),import/export_actual_(mu),import/export_o/d/u/d_(mu),import/export_schedule_(mu),maximum_demand_-_evening_peak_(mw),nuclear_generation_(mw),peak_shortage_(mw),solar_generation_(mu),"thermal_lignite_gas,_naptha_&_diesel_generation_(mw)",wind_generation_(mu),Total_consumption,Max. Demand Met during the day (MW),Shortage during maximum Demand (MW),Drawal Schedule (MU),OD(+)/UD(-) (MU),Max OD (MW)
0,1/1/2018,2652,3116,13.1,25565,37040,205,203,1.3,2,-0.7,140753,122,1056,60.08,110,60,3122.5,157824,1139,1352.2,8.9,7161
1,1/2/2018,2604,3122,13,24087,40405,211,209,-4.5,-4.5,-8.44E-15,144509,124,563,58.1,114,49,3274.1,158284,622,1354.2,2.3,7609
2,1/3/2018,2669,3208,13.4,23765,41810,224,222,-9.2,-9,-0.2,149976,127,1211,56.71,119,49,3426.4,160544,1069,1394.4,12.1,7732
3,1/4/2018,2739,3298,14.9,23685,41186,227,226,-16.5,-19,2.4,150541,126,1564,57.33,118,51,3343.6,162754,995,1430.6,31.5,8573
4,1/5/2018,2731,3261,20.9,25347,41372,232,230,-2.2,-1,-1.3,150287,127,2192,56.33,119,41,3428.2,163798,2917,1410.6,12.3,8647
5,1/7/2018,2335,3248,18,24365,39215,237,207,-10.2,-11.5,1.5,149847,127,1787,58.29,120,37,3466.4,163833,1330,1404.2,10.8,8013
6,1/8/2018,2252,3143,13,24085,39044,210,184,-14,-13.6,-0.5,141147,127,897,59.39,116,45,3689,156078,750,1373.9,6.1,7638
7,1/9/2018,2703,3252,15.8,24115,36010,219,217,-12.9,-13,0,148792,124,660,58.57,116,69,3615.3,164593,609,1386.7,10.7,7356
8,1/11/2018,2742,3313,13.6,24060,37409,213,211,-0.7,-0.7,-0.1,150302,117,772,54.77,116,93,3570.9,163137,731,1377.2,20.2,8412
9,1/12/2018,2749,3317,19.6,25480,36515,242,240,-5.6,-7.9,2.4,152710,117,1221,58.01,116,70,3322.4,166588,1303,1371.7,22.2,8733
10,1/13/2018,2790,3355,22.3,26649,36655,248,247,-4.2,-6.4,2.1,152846,117,684,54.84,116,57,3333.9,167488,1551,1395.7,17.2,7463
