,Unnamed: 0,Date,coal_generation_(mw),energy_met_(mu),energy_shortage_(mu),generation_outage_central_sector_(mw),generation_outage_state_sector_(mw),hydro_generation_(mu),hydro_generation_(mw),import/export_actual_(mu),import/export_o/d/u/d_(mu),import/export_schedule_(mu),maximum_demand_-_evening_peak_(mw),nuclear_generation_(mw),peak_shortage_(mw),solar_generation_(mu),"thermal_lignite_gas,_naptha_&_diesel_generation_(mw)",wind_generation_(mu),Total_consumption,Max. Demand Met during the day (MW),Shortage during maximum Demand (MW),Drawal Schedule (MU),OD(+)/UD(-) (MU),Max OD (MW),month,year
0,0,2018-01-01,2652,3116,13.1,25565,37040,205,203,1.3,2.0,-0.7,140753,122,1056,60.08,110.0,60,3122.5,157824,1139,1352.2,8.9,7161,1,2018
1,1,2018-01-02,2604,3122,13.0,24087,40405,211,209,-4.5,-4.5,-8.44e-15,144509,124,563,58.1,114.0,49,3274.1,158284,622,1354.2,2.3,7609,1,2018
2,2,2018-01-03,2669,3208,13.4,23765,41810,224,222,-9.2,-9.0,-0.2,149976,127,1211,56.71,119.0,49,3426.4,160544,1069,1394.4,12.1,7732,1,2018
3,3,2018-01-04,2739,3298,14.9,23685,41186,227,226,-16.5,-19.0,2.4,150541,126,1564,57.33,118.0,51,3343.6,162754,995,1430.6,31.5,8573,1,2018
4,4,2018-01-05,2731,3261,20.9,25347,41372,232,230,-2.2,-1.0,-1.3,150287,127,2192,56.33,119.0,41,3428.2,163798,2917,1410.6,12.3,8647,1,2018
5,5,2018-01-07,2335,3248,18.0,24365,39215,237,207,-10.2,-11.5,1.5,149847,127,1787,58.29,120.0,37,3466.4,163833,1330,1404.2,10.8,8013,1,2018
6,6,2018-01-08,2252,3143,13.0,24085,39044,210,184,-14.0,-13.6,-0.5,141147,127,897,59.39,116.0,45,3689.0,156078,750,1373.9,6.1,7638,1,2018
7,7,2018-01-09,2703,3252,15.8,24115,36010,219,217,-12.9,-13.0,0.0,148792,124,660,58.57,116.0,69,3615.3,164593,609,1386.7,10.7,7356,1,2018
8,8,2018-01-11,2742,3313,13.6,24060,37409,213,211,-0.7,-0.7,-0.1,150302,117,772,54.77,116.0,93,3570.9,163137,731,1377.2,20.2,8412,1,2018
9,9,2018-01-12,2749,3317,19.6,25480,36515,242,240,-5.6,-7.9,2.4,152710,117,1221,58.01,116.0,70,3322.4,166588,1303,1371.7,22.2,8733,1,2018
10,10,2018-01-13,2790,3355,22.3,26649,36655,248,247,-4.2,-6.4,2.1,152846,117,684,54.84,116.0,57,3333.9,167488,1551,1395.7,17.2,7463,1,2018
11,11,2018-01-14,2778,3334,14.2,26507,37675,231,229,-7.2,-0.6,-6.5,148886,120,598,56.6,116.0,58,3121.7,167385,598,1381.5,20.0,8159,1,2018
12,12,2018-01-15,2580,3121,11.2,27535,37777,214,212,-7.6,-6.9,-0.7,134991,122,603,60.93,110.0,56,3166.9,158453,556,1296.6,12.9,7611,1,2018
13,13,2018-01-16,2658,3231,14.3,24992,38727,233,231,-10.7,-8.8,-1.8,143681,119,763,58.8,110.0,73,3243.9,161216,606,1294.4,21.2,8060,1,2018
14,14,2018-01-17,2673,3244,16.0,24552,39726,250,248,-7.3,-6.4,-1.0,149060,113,641,59.91,119.0,48,3304.2,163510,1107,1368.5,31.3,7388,1,2018
15,15,2018-01-18,2755,3305,16.7,24595,37128,237,235,-6.1,-6.1,-0.1,150574,113,703,60.54,125.0,52,3315.5,165644,996,1388.2,17.4,7865,1,2018
16,16,2018-01-19,2726,3315,15.5,24515,35573,234,232,-1.0,-0.2,-0.9,150821,114,614,67.33,120.0,68,3307.1,165585,622,1364.2,30.3,9786,1,2018
17,17,2018-01-20,2735,3307,16.4,24739,35793,238,236,-1.5,0.5,-2.0,150532,113,751,73.87,115.0,60,3307.2,166026,972,1375.5,26.1,8719,1,2018
18,18,2018-01-21,2745,3307,12.2,24949,35114,237,235,-7.4,-6.9,-0.3,150499,113,570,67.63,115.0,57,3190.6,167340,675,1358.8,28.4,7967,1,2018
19,19,2018-01-22,2675,3190,12.4,26599,37399,207,205,-5.1,-4.8,-0.3,140498,113,571,71.9,118.0,51,3281.8,159591,647,1330.0,10.2,6567,1,2018
20,20,2018-01-23,2723,3277,17.1,26133,38326,237,235,-6.3,-5.9,-0.5,149194,113,571,64.57,115.0,57,3258.2,164482,2534,1355.4,11.4,7949,1,2018
21,21,2018-01-24,2689,3258,12.6,25335,39117,243,242,-7.3,-7.6,0.4,146279,115,601,66.01,114.0,62,3233.6,163444,1728,1362.4,12.5,8601,1,2018
22,22,2018-01-25,2686,3232,17.5,25415,38632,232,231,-11.4,-11.6,0.1,148930,116,985,64.2,113.0,36,3250.4,163184,1494,1383.2,10.0,8066,1,2018
23,23,2018-01-26,2753,3251,18.5,24915,38588,223,223,-8.7,-8.1,-0.8,149566,117,702,68.08,110.0,32,3104.5,163049,2410,1392.0,1.7,7238,1,2018
24,24,2018-01-27,2621,3104,12.4,24915,39578,194,194,0.8,-0.1,0.9,136174,116,640,68.88,105.0,35,3191.0,155645,1149,1358.3,5.9,8638,1,2018
25,25,2018-01-28,2666,3192,15.0,26259,38693,206,206,1.6,3.6,-2.0,148272,118,719,70.68,107.0,36,3151.2,162529,592,1369.2,15.0,8564,1,2018
26,26,2018-01-29,2667,3151,12.2,25794,38288,192,192,-10.0,-9.3,-0.7,140926,122,565,72.63,102.0,46,3242.5,159097,835,1356.3,3.2,7530,1,2018
27,27,2018-01-30,2719,3243,17.2,26265,38248,207,207,-5.3,-5.9,0.7,148117,125,638,63.11,100.0,63,3269.5,164114,1193,1367.2,8.6,8048,1,2018
28,28,2018-01-31,2713,3270,16.2,26970,37818,211,210,-3.0,-6.4,3.5,147709,125,1099,75.0,109.0,72,3276.9,164395,1782,1368.3,4.7,8406,1,2018
29,29,2018-02-01,2728,3277,14.2,25305,37900,210,210,-4.4,-3.5,-1.0,145684,122,591,75.36,111.0,74,3208.8,162369,1134,1372.4,7.7,7720,2,2018
30,30,2018-02-02,2728,3277,14.2,25305,37900,210,210,-4.4,-3.5,-1.0,145684,122,591,75.36,111.0,74,3291.3,162369,1134,1372.4,7.7,7720,2,2018
31,31,2018-02-03,2722,3274,27.5,23360,37045,196,195,-1.2,-1.8,0.8,148405,122,2051,78.13,123.0,68,3123.5,162317,4125,1402.9,9.8,7448,2,2018
32,32,2018-02-04,2718,3286,17.0,22980,38269,203,202,0.7,0.1,0.6,149115,122,1025,77.72,116.0,74,3350.2,164245,2015,1384.5,14.0,7657,2,2018
33,33,2018-02-05,2600,3171,11.6,23070,40217,185,184,6.5,1.6,4.9,139497,122,872,72.48,110.0,102,3477.2,158796,634,1356.2,2.8,7685,2,2018
34,34,2018-02-06,2693,3258,15.4,23730,38819,195,194,-0.3,-4.4,4.0,149521,122,721,71.57,112.0,94,3514.7,165661,889,1383.8,14.2,8008,2,2018
35,35,2018-02-07,2757,3308,12.7,23116,39231,204,203,0.7,-2.4,3.2,149752,117,783,64.5,113.0,73,3569.7,166864,589,1430.5,6.5,6160,2,2018
36,36,2018-02-08,2792,3303,13.7,23181,40169,223,222,3.1,1.3,2.0,148090,117,737,47.01,110.0,42,3740.4,165782,1500,1454.2,8.6,7886,2,2018
37,37,2018-02-09,2774,3289,19.6,23531,39640,215,214,2.5,0.5,2.1,149957,118,879,66.21,110.0,32,3415.1,163049,3200,1437.2,9.3,8506,2,2018
38,38,2018-02-10,2800,3320,21.2,24591,39727,221,219,-1.3,-15.3,14.0,149513,122,1199,66.95,109.0,29,3720.3,165963,3017,1445.9,14.5,7194,2,2018
39,39,2018-02-11,2763,3310,17.9,24986,38719,219,218,5.5,4.8,0.6,149469,122,1022,58.02,107.0,53,3556.7,162871,2486,1427.3,20.3,7093,2,2018
40,40,2018-02-12,2575,3093,6.2,25586,39995,172,171,3.9,4.5,-0.6,134831,122,422,60.84,107.0,93,3198.7,157407,489,1317.4,-21.0,9449,2,2018
41,41,2018-02-13,2571,3104,9.0,23565,40566,209,208,9.3,10.0,-0.7,144703,122,457,66.38,105.0,59,3156.9,158009,671,1333.4,-3.2,8465,2,2018
42,42,2018-02-14,2616,3157,9.9,23778,39041,196,195,-7.4,-6.3,-1.1,142190,122,595,66.62,105.0,81,3177.2,159802,867,1358.7,4.7,7222,2,2018
43,43,2018-02-15,2587,3177,10.0,25258,39015,188,187,1.2,2.2,-0.9,146472,122,625,70.91,104.0,144,3236.1,159727,875,1305.9,-2.6,7156,2,2018
44,44,2018-02-16,2610,3235,10.6,25743,38902,202,201,1.6,-2.1,3.8,148436,122,596,70.16,106.0,135,3289.5,161517,558,1336.5,16.0,8032,2,2018
45,45,2018-02-17,2741,3290,12.4,25338,38122,207,206,-3.7,-4.1,0.3,149103,101,608,74.09,111.0,60,3281.7,161862,621,1391.6,20.2,7846,2,2018
46,46,2018-02-18,2728,3281,12.1,25888,38092,213,212,-10.2,-9.4,-0.8,148431,101,782,77.44,112.0,41,3189.1,163095,1034,1404.4,12.7,7288,2,2018
47,47,2018-02-19,2653,3189,10.4,25888,39020,194,193,4.0,3.6,0.2,139598,121,572,79.72,109.0,46,3280.1,159477,452,1370.4,13.2,7774,2,2018
48,48,2018-02-20,2695,3281,17.6,27968,39530,225,221,-2.4,-1.7,-0.7,148462,95,828,78.95,112.0,60,3350.7,162645,1302,1386.7,21.7,8188,2,2018
49,49,2018-02-21,2766,3350,15.7,26213,39690,232,231,4.1,2.8,1.3,152548,87,787,78.16,112.0,70,3354.4,164455,2085,1397.3,24.8,8014,2,2018
50,50,2018-02-22,2787,3354,13.7,26613,38540,227,226,-4.3,-3.0,-1.4,149105,87,627,75.91,113.0,71,3383.5,164473,1581,1408.4,18.4,8377,2,2018
51,51,2018-02-23,2817,3383,12.2,26553,37947,235,233,-13.9,-16.6,2.7,151062,84,597,75.24,119.0,60,3388.8,165766,1323,1411.1,19.6,7964,2,2018
52,52,2018-02-24,2801,3389,23.5,28568,37645,224,223,5.9,3.2,2.8,150872,83,1071,79.08,121.0,88,3359.0,164387,2028,1410.0,23.4,8759,2,2018
53,53,2018-02-25,2756,3358,13.2,26338,37778,222,223,6.0,6.0,0.2,148547,78,813,79.07,87.0,104,3311.0,163982,855,1421.5,10.9,10611,2,2018
54,54,2018-02-26,2719,3312,13.4,26093,38476,191,191,9.8,9.0,0.7,142423,96,649,83.52,111.0,130,3361.9,158748,1336,1359.0,-2.5,6829,2,2018
55,55,2018-02-27,2762,3361,12.1,25893,37916,234,234,14.2,14.9,-0.6,150491,99,488,83.16,110.0,94,3428.5,165719,457,1398.0,7.5,7225,2,2018
56,56,2018-02-28,2807,3428,12.7,28235,39248,243,242,1.7,-1.5,3.1,152263,99,633,80.53,117.0,104,3460.3,167481,1820,1401.6,8.7,6919,2,2018
57,57,2018-03-01,2862,3460,23.5,27480,38760,247,247,-0.6,-2.5,1.9,153327,98,609,75.91,117.0,77,3298.1,167197,1704,1401.9,19.9,8592,3,2018
58,58,2018-03-02,2840,3427,13.6,27125,39241,238,236,-1.0,-0.6,-0.4,148568,99,585,79.84,115.0,73,3286.1,165508,2254,1414.5,15.8,8173,3,2018
59,59,2018-03-03,2584,3124,10.1,27455,42702,193,193,0.1,-3.4,3.6,132284,99,664,85.14,93.0,83,3193.9,151326,661,1332.2,-3.5,8060,3,2018
60,60,2018-03-04,2617,3195,12.3,26896,41503,234,233,4.7,5.1,-0.4,143343,99,634,81.83,96.0,89,3494.6,157693,523,1353.2,4.4,7822,3,2018
61,61,2018-03-05,2755,3298,13.2,27708,42813,219,219,1.7,1.3,0.4,139687,99,903,79.31,100.0,64,3330.1,156464,636,1390.3,11.2,7975,3,2018
62,62,2018-03-06,2765,3363,11.3,28913,39091,259,259,3.3,-8.88e-16,3.3,150503,99,723,81.04,108.0,64,3500.1,163204,598,1398.3,10.3,7456,3,2018
63,63,2018-03-07,2815,3422,15.0,26548,38528,251,250,-3.5,-4.6,1.0,151369,94,1432,83.23,117.0,76,3496.4,165863,1476,1402.3,10.3,8202,3,2018
64,64,2018-03-08,2840,3444,15.2,27493,37936,248,248,3.3,2.7,0.5,153012,92,920,88.08,112.0,84,3785.4,166701,749,1430.8,6.6,8439,3,2018
65,65,2018-03-09,2874,3462,27.6,30223,38787,258,258,0.9,1.0,-0.1,152149,76,2213,91.54,112.0,80,3785.4,165004,1081,1397.0,18.2,8961,3,2018
66,66,2018-03-10,2873,3458,32.0,28586,40379,264,264,-4.8,-6.3,1.5,150069,71,1901,85.82,115.0,83,3804.1,165557,839,1396.3,14.2,7884,3,2018
67,67,2018-03-11,2850,3438,33.0,28311,40036,249,249,1.2,6.8,-5.6,151128,73,3191,75.66,118.0,84,3514.6,164729,3186,1410.6,7.7,7765,3,2018
68,68,2018-03-12,2811,3351,17.6,27831,36551,210,210,0.1,0.7,-0.6,144904,71,1122,75.28,116.0,89,3306.8,160789,1679,1364.3,3.2,7002,3,2018
69,69,2018-03-13,2867,3462,13.6,29396,36308,230,230,-1.3,-1.1,-0.2,152425,76,1831,71.77,120.0,115,3502.5,166997,904,1366.1,4.5,7350,3,2018
70,70,2018-03-14,2869,3503,22.9,29951,36026,236,236,-4.8,-6.4,1.6,153332,87,2333,75.39,122.0,117,3500.9,166791,2113,1383.8,8.7,7804,3,2018
71,71,2018-03-15,2864,3501,28.4,30713,36321,246,245,-4.1,-4.6,0.5,153499,96,1566,69.95,125.0,118,3489.5,166808,1347,1371.5,10.0,7203,3,2018
72,72,2018-03-16,2876,3489,20.7,28929,35681,249,249,-4.8,-4.3,-0.4,153049,98,1681,63.2,131.0,72,3429.1,166892,1778,1392.4,9.2,8023,3,2018
73,73,2018-03-17,2838,3429,16.3,28929,35116,224,224,-0.6,-0.3,-0.2,148306,98,1379,65.75,127.0,64,3316.6,164545,1644,1409.9,2.7,9031,3,2018
74,74,2018-03-18,2732,3317,13.6,28744,34460,223,223,-4.4,-4.8,0.3,148951,98,875,73.6,126.0,58,3235.3,161049,963,1356.5,2.9,7958,3,2018
75,75,2018-03-19,2666,3235,12.7,28624,35311,193,193,36.8,-8.2,44.9,140571,99,619,80.9,146.0,80,3393.3,156573,699,1331.4,1.1,7705,3,2018
